1;Fala galera, treininho?;Alic;TRINCADUS;20230704 20:29:46
1;Alic/Fala galera, treininho?;TRINCADUS;Rafael;20230704 20:29:46
2;Boraaaaaaaaaaaa;Rafael;TRINCADUS;20230704 20:30:15
2;Rafael/Boraaaaaaaaaaaa;TRINCADUS;Alic;20230704 20:30:15
3;dale;Alic;TRINCADUS;20230704 20:30:52
3;Alic/dale;TRINCADUS;Rafael;20230704 20:30:52
4;Loucura gabriel chegou;Alic;TRINCADUS;20230704 20:31:28
4;Alic/Loucura gabriel chegou;TRINCADUS;Gabriel;20230704 20:31:28
5;oi meu nome é Gabriel;Gabriel;TRINCADUS;20230704 20:31:50
5;Gabriel/oi meu nome é Gabriel;TRINCADUS;Alic;20230704 20:31:50
